pmcid,paper_type,vaccine_name,vaccine_name_generated,vaccine_target_pathogen,vaccine_target_host,vaccine_model_host,vaccine_delivery_method,vaccine_manufacturer,vaccine_storage_method,vaccine_stage,vaccine_license,vaccine_antigen,vaccine_formulation,vaccine_gene
PMC12370932,full_text,,True,Brucella melitensis,human,,"mRNA vaccine (in silico design; delivery system not specified, but lipid nanoparticles are discussed as a future requirement)",,Ultra-low or low temperature (cold chain required for mRNA vaccines),research,,"VirB2, VirB3, VirB6, BtpA (structural and effector proteins from Type IV secretion system, T4SS)","Multi-epitope mRNA vaccine encoding linked CTL, HTL, B-cell linear and conformational epitopes, with linkers (AAY, GPGPG, KK, GGGS, EAAAK), tPA signal peptide, His tag, 5’ m7GCap, 5’ UTR, Kozak sequence, 3’ UTR, Poly(A) tail","Optimized nucleotide sequence encoding multi-epitope protein (reverse-translated and codon-optimized for expression, restriction sites BamHI and XhoI added for cloning)"
PMC11788153,full_text,Brucella suis Δ mapB Outer Membrane Vesicles (OMVs) vaccine,True,Brucella suis,swine,BALB/c mice,intramuscular injection,,aliquoted and stored at -20°C,research,,"Outer Membrane Vesicles containing LPS, Omp16, Omp19, Omp31, Omp25, SOD, GroEL, bacterioferritin, SurA, and other proteins","Acellular vaccine based on OMVs isolated from B. suis Δ mapB mutant strain, 20 µg per dose in sterile PBS","Δ mapB (deletion of mapB gene, homolog of TamB)"
PMC2931434,full_text,B. abortus S19 and B. melitensis Rev. 1,False,Brucella spp.,"cattle (B. abortus S19), small ruminants (B. melitensis Rev. 1)",,,,,licensed,,,,
PMC12016899,full_text,Rev.1,False,Brucella melitensis,sheep,sheep,"intramuscular injection, intraconjunctival, subcutaneous",,,licensed,,live attenuated Brucella melitensis,live attenuated vaccine,
PMC140367,full_text,Brucella melitensis Rev.1,False,Brucella melitensis,"sheep, goats","animals, humans",,,,,,omp2,,omp2
PMC4564183,full_text,Brucella abortus S19 and RB51,False,Brucella abortus,cattle,cattle,subcutaneous injection,,,licensed,,live attenuated Brucella abortus S19 or RB51 strains,live attenuated bacterial suspension,
PMC11126717,full_text,"Chimeric Brucella Vaccine targeting BvrR, OMP25, and OMP31",True,Brucella spp.,Human and animal,,,,,research,,"BvrR, OMP25, OMP31 proteins (multi-epitope chimeric construct)","Multi-epitope chimeric protein vaccine (698 amino acids, includes CTL, THL, and B-cell epitopes linked by AAY, GPGPG, and KK linkers; PADRE sequence and EAAAK linker included)","bvrR, omp25, omp31"
PMC2632017,full_text,Brucella abortus S19 ΔvjbR live vaccine candidate,False,Brucella abortus,Cattle,BALB/c mice,Intraperitoneal injection (encapsulated or nonencapsulated in alginate microspheres),Texas A&M University,,research,,Live attenuated Brucella abortus S19 ΔvjbR mutant,Encapsulated in alginate microspheres containing nonimmunogenic eggshell precursor protein (vitelline protein B) or nonencapsulated,vjbR knockout in S19 strain
PMC5808651,full_text,"Salmonella-based Brucella abortus vaccine (expressing BCSP31, Omp3b, and SOD antigens)",False,Brucella abortus,domestic ruminants,mouse (BALB/c),intraperitoneal injection,,stored at −70°C,research,,"BCSP31, Omp3b (Omp22), SOD (Cu/Zn superoxide dismutase)",mixture of three attenuated Salmonella Typhimurium strains each expressing one Brucella abortus antigen,"BCSP31, Omp3b, sodC"
PMC12232191,full_text,Brucella abortus Multi-Epitope DNA Vaccine (MEV),True,Brucella abortus,Human,BALB/c mice,Mucosal delivery using Lactococcus lactis as live vector,,,research,,Omp19 and Bacterial surface antigen (D15) from Brucella abortus,"Multi-epitope DNA vaccine construct containing CTL, HTL, and B-cell epitopes from Omp19 and D15, fused with RS09/Hsp70 adjuvant and GGGS/EAAAK linkers, expressed in Lactococcus lactis and cloned into pNZ8121 plasmid",Genes encoding Omp19 (UniProt ID: A0A0D4D953) and Bacterial surface antigen D15 (UniProt ID: A0A0F6ANH2) from Brucella abortus
PMC7504952,full_text,"S19, 16MΔ vjbR + Quil-A",False,Brucella melitensis,"human, animal (pregnant women, animals)",guinea pig,intratracheal inoculation,,,research,,16MΔ vjbR,16MΔ vjbR + Quil-A,vjbR
PMC11508834,full_text,Rev1ΔfbaΔtal,False,Brucella melitensis,"sheep, goats","mouse (BALB/c, CD-1), human cell lines (BeWo trophoblasts, THP-1 macrophages)","subcutaneous, intraperitoneal",,stored at −80 °C in cryoprotector media (skim milk or TYSB-7% DMSO),research,,live-attenuated Brucella melitensis Rev1 strain with deletions in fba and tal genes,live-attenuated bacterial vaccine,"fba (fructose-bisphosphate aldolase), tal (transaldolase)"
PMC5610864,full_text,"pV273-sod, pV278-sod, pV273-278-sod",False,Brucella abortus,"humans, cattle",BALB/c mice,intramuscular injection (DNA vaccine),"GenScript, Inc. (Piscataway, NJ, USA); Thermo Fisher Scientific Inc. (MA, USA)",,research,,"BAB1_0273, BAB1_0278, sodC (Cu-Zn superoxide dismutase)",multivalent DNA vaccine (pVAX1 vector) encoding fused antigens with PAPAP linker,"BAB1_0273, BAB1_0278, sodC"
PMC2041375,full_text,Fraction F8 vaccine and killed H38 vaccine,True,Brucella abortus and Brucella melitensis,mouse,mouse,intraperitoneal injection,,,research,,"Fraction F8 (cell-wall extract from B. abortus 99), killed whole B. melitensis 53 H38",Fraction F8 with or without oil adjuvant; killed whole bacteria (H38) with or without oil adjuvant,
PMC3790686,full_text,Brucella suis biovar 1 vaccine strain S2,False,Brucella suis,swine,swine,oral (administered through drinking water),China Institute of Veterinary Drug Control (IVDC),,licensed,,,live attenuated,
PMC6979349,full_text,Salmonella Typhimurium JOL1800 secreting Brucella abortus ribosomal protein L7/L12,False,Brucella abortus,humans and ruminants,BALB/c mice,live attenuated Salmonella Typhimurium vector (JOL1800) via intramuscular injection,,stored at −20 °C for purified protein; Salmonella strains grown at 37 °C,research,,Brucella abortus ribosomal protein L7/L12,"live attenuated Salmonella Typhimurium JOL1800 strain carrying pJHL65::L7/L12 plasmid (asd complemented, beta-lactamase signal sequence fusion, constitutive expression)","L7/L12 gene from Brucella abortus, cloned into pJHL65 plasmid downstream of beta-lactamase (bla) secretory signal"
PMC3272933,full_text,16MΔ vjbR and S19Δ vjbR,False,Brucella melitensis and Brucella abortus,human and animal,IRF-1 −/− mouse,,,,research,,vjbR mutant,live attenuated,vjbR
PMC12581176,full_text,Brucella abortus S19,False,Brucella abortus,cattle,cattle,"live attenuated (field and reference strains, administered via injection in livestock)",,,licensed,,"Outer membrane proteins (OMPs) including P39, Omp16, Omp19, Omp25, Omp31, SodC, Glycine betaine/L-proline; virulence-associated proteins",live attenuated bacterial strain (S19),"Genes encoding OMPs and virulence factors: BAbS19_I10980 (cp24), BAbS19_II01790 (groEL), BAbS19_I15960 (Omp16), BAbS19_I18100 (Omp19), A0A481V8S2 (Omp25), BAbS19_I15320 (Omp31), BAbS19_II05060 (SodC), BAbS19_II04730 (Glycine betaine/L-proline), and others with sequence variations"
PMC9716126,full_text,Multi-epitope chimeric vaccine based on Multidrug Efflux RND Transporter Outer Membrane Subunit BepC,True,Brucella suis,Human,E. coli (for expression); Human (for immunogenicity studies),,,,research,,Multidrug Efflux RND Transporter Outer Membrane Subunit BepC,"Multi-epitope chimeric peptide vaccine with adjuvants (HBHA, HBHA conserved, ribosomal, beta-defensin), PADRE sequence, and linked T-cell and B-cell epitopes",BepC (WP_011068960.1)
PMC11481323,full_text,B abortus strain S19,False,"Brucella abortus, Brucella melitensis","cattle, mice",C57BL/6J mice,subcutaneous injection,,,licensed,"Licensed for animal use (cattle), not licensed for human use",live-attenuated B abortus S19,live-attenuated bacterial vaccine,
PMC4990199,full_text,Brucella abortus RB51,False,Brucella abortus,Cattle,Cattle,subcutaneous,,,licensed,Approved for animal use,Brucella abortus RB51 strain,Live attenuated vaccine,
PMC5638537,full_text,Flu-BA_Omp19-SOD,False,Brucella melitensis,sheep and goats,sheep and goats,simultaneous subcutaneous and conjunctival administration,,lyophilized and stored at 2–8°C,research,,"Brucella L7/L12, Omp16, Omp19, and Cu-Zn SOD proteins","Tetravalent influenza viral vector vaccine (H5N1 and/or H1N1 subtypes) expressing Brucella proteins, mixed with 20% Montanide Gel01 adjuvant in PBS","NS1 gene open reading frame (ORF) of influenza viral vectors expressing Brucella L7/L12, Omp16, Omp19, and Cu-Zn SOD"
PMC1915552,full_text,,False,Brucella spp.,,,,,,,,,,
PMC174409,full_text,Brucella abortus RB51,False,Brucella abortus,mouse,mouse,"oral, intraperitoneal",,,research,,surface antigens of intact SRB51 bacteria,live attenuated bacterial strain,
PMC10414599,full_text,Brucella melitensis multi-epitope vaccine targeting VirB8 and VirB10 (MEV),True,Brucella melitensis,Human,E. coli (expression host); in silico mammalian immune simulation,,,,research,,"VirB8 and VirB10 proteins (core components of Brucella type IV secretion system, T4SS)","Multi-epitope protein vaccine constructed from CTL, HTL, linear and conformational B-cell epitopes of VirB8 and VirB10, linked with AAY, GPGPG, and KK linkers; adjuvanted with human β-defensin-3 and PADRE sequence; polyhistidine tag at C-terminus","Codon-optimized synthetic gene encoding the MEV construct, inserted into pET-28a(+) vector for expression in E. coli"
PMC11169049,full_text,"RB51 (for B. abortus), Rev.1 (for B. melitensis)",False,"Brucella abortus, Brucella melitensis","Cattle (B. abortus), Sheep and goats (B. melitensis)",,,,,licensed,,,,
PMC12639870,full_text,OMV Bru−M3,False,Brucella abortus,human,mouse (BALB/c),"subcutaneous, intranasal, intramuscular",,,research,,"Outer membrane vesicles (OMVs) containing remodeled lipopolysaccharide (LPS), outer membrane proteins (OmpA, OmpW, Omp2a, Omp2b, Omp10, Omp19, Omp28, Omp31), ribosomal proteins, Cu-Zn superoxide dismutase, nucleoside diphosphate",OMVs isolated from genetically modified Brucella abortus ΔeipB Δper ΔwadC (Bru-M3) strain,"eipB, per, wadC (deleted in Bru-M3 strain)"
PMC12420658,full_text,A19ΔBtpB,False,Brucella abortus,Cattle,Mouse (ICR female mice),Intraperitoneal injection,Tiankang Biological Technology Co. Ltd.,,research,,Live attenuated Brucella abortus A19 strain with btpB gene deletion,Live gene-deletion mutant (A19ΔBtpB),btpB
PMC228233,full_text,,False,Brucella abortus,cattle,,,,,,,,,
PMC9755167,full_text,Brucella suis S2,False,Brucella suis,"sheep, goats, cattle, pigs",,,,,licensed,,GL_0002189 gene,live attenuated vaccine,GL_0002189
PMC12041093,full_text,Plant-based OMP25 subunit vaccine,True,Brucella spp.,"Livestock (cattle), potential for humans",Nicotiana tabacum (tobacco plant); future animal models planned,Oral (edible plant-based vaccine),,Plant biomass; can be processed into powders or tablets,research,,OMP25 protein (outer membrane protein 25),Transgenic Nicotiana tabacum expressing OMP25; GFP-OMP25 fusion protein,OMP25 gene (codon-optimized for Nicotiana tabacum)
PMC2612246,full_text,U-Omp16 or U-Omp19 subunit vaccine,True,Brucella abortus,humans and animals,BALB/c mice,systemic (aluminum hydroxide formulation) and oral (cholera toxin adjuvant),,,research,,Outer membrane proteins Omp16 and Omp19,"Unlipidated Omp16 or Omp19 in incomplete Freund's adjuvant, aluminum hydroxide, or cholera toxin adjuvant","omp16, omp19"
PMC8608319,full_text,Brucella abortus S19-GFP,False,Brucella abortus,cattle,mice,"subcutaneous, conjunctival","Centro de Investigación y Tecnología Agroalimentaria (CITA) of Aragón, Spain; Universidad de Navarra, Spain",-80°C in skimmed milk,research,,"Green Fluorescent Protein (GFP), Brucella S-LPS",Live attenuated Brucella abortus S19 strain with gfp gene integrated into chromosome II; vaccine suspensions containing 5×10^9 CFU; GST-GFP boost in calcium alginate adjuvant,"gfpmut3 gene (driven by E. coli rrnB P1 ribosomal promoter, inserted via mini-Tn7 downstream of glmS gene in chromosome II)"
PMC3346322,full_text,Brucella abortus strain RB51 vaccine,False,Brucella abortus,Bison (Bison bison),Bison (Bison bison),"Hand injection, dart injection",,,research,,Brucella abortus strain RB51,Live attenuated bacterial vaccine (1.1 × 10^10 to 2.2 × 10^10 CFU),
PMC87192,full_text,Brucella abortus strain 19 (S19) and Brucella abortus strain RB51,False,Brucella abortus,Cattle,Cattle,,,,,,,,
PMC2453230,full_text,Bm16MR wa**,False,Brucella melitensis,sheep and goats,mouse (BALB/c),intraperitoneal and subcutaneous injection,,kept in skim milk at −80°C,research,,N-formylperosamine polysaccharide (O-polysaccharide precursor),live attenuated rough mutant (wa** gene disrupted),wa** (putative glycosyltransferase gene)
PMC266364,full_text,,False,Brucella spp.,"cattle, sheep, goats",,,,,research,,"Hapten polysaccharides (O chain or native hapten) from Brucella smooth M and A serotypes, and Yersinia enterocolitica O:9",Purified polysaccharides (O chain or native hapten),
PMC5844281,full_text,Brucella abortus vaccine strain RB51,False,Brucella abortus,cattle,,live-attenuated vaccine,,,licensed,,,live-attenuated,
PMC2863508,full_text,Brucella abortus Δpgk mutant vaccine,True,Brucella abortus,"domestic animals, humans","BALB/c mice, C57BL/6 mice, 129/Sv mice, IRF-1 knockout mice",live attenuated bacterial injection,,,research,,phosphoglycerate kinase (PGK) deletion mutant,live attenuated bacterial strain,pgk
PMC12563591,full_text,Recombinant capripoxvirus expressing Brucella antigens (SPPV(TK-) OMP19/SODC and SPPV(TK-) OMP25),False,"Brucella spp. (Brucella melitensis, Brucella abortus, Brucella suis, Brucella canis)",Human,Vero cells (African green monkey kidney cells),,"Research Institute for Biological Safety Problems, Republic of Kazakhstan",Aliquoted and stored at −40 °C,research,,"Brucella ribosomal protein L7/L12, Brucella outer membrane protein Omp16, OMP19, OMP25, Cu-Zn superoxide dismutase C","Recombinant capripoxvirus vector propagated in Vero cells, serum-free OptiPRO™ SFM medium, with BioNOC II® macrocarriers","OMP19, OMP25, SODC (Cu-Zn superoxide dismutase C), EGFP (for control), integrated into the thymidine kinase (TK) locus"
PMC95769,full_text,Brucella abortus vaccine strain RB51,False,Brucella abortus,Cattle,,,,,licensed,,"wboA gene (disrupted by IS711 element), glycosyltransferase (O antigen synthesis enzyme)",live attenuated rough mutant,wboA (disrupted by IS711 element)
PMC1595328,full_text,Brucella abortus Strain RB51 and Strain 19,False,Brucella abortus,Elk (Cervus elaphus nelsoni),Elk (Cervus elaphus nelsoni),Injection,,,research,,Brucella abortus Strain RB51 and Strain 19,Live attenuated bacterial vaccine (10^10 CFU of SRB51 or S19),
